Name,Body,Year,Price,Transmission,Mileage,Volume,Customs Clearance,Color,задний,передний,полный
8,0,2012,3000000,2,150000.0,1.7,1,11,0,0,1
8,0,2004,2000000,2,293355.0,1.7,1,8,0,0,1
8,0,2013,3500000,2,180000.0,1.7,1,7,0,0,1
8,0,2007,2600000,2,175000.0,1.7,1,8,0,0,1
8,0,2014,4300000,2,93000.0,1.7,1,1,0,0,1
8,0,2020,6200000,2,40000.0,1.7,1,8,0,0,1
8,0,2010,3300000,2,219412.0,1.7,1,4,0,0,1
8,0,2006,1820000,2,200000.0,1.7,0,3,0,0,1
8,0,2015,4200000,2,161000.0,1.7,1,7,0,0,1
8,0,2019,6500000,2,18100.0,1.7,1,0,0,0,1
8,0,2020,6400000,2,44000.0,1.7,1,7,0,0,1
8,0,2019,6700000,2,45000.0,1.7,1,8,0,0,1
8,0,2016,3300000,2,101500.0,1.7,0,8,0,0,1
8,0,2014,3400000,2,142100.0,1.7,1,1,0,0,1
8,0,2014,3500000,2,217000.0,1.7,1,7,0,0,1
8,0,2014,3400000,2,100400.0,1.7,1,8,0,0,1
8,0,2005,1850000,2,138000.0,1.7,1,3,0,0,1
8,0,2015,4520000,2,118032.0,1.7,1,7,0,0,1
8,0,2012,3500000,2,127000.0,1.7,0,7,0,0,1
8,0,2016,4200000,2,128000.0,1.7,1,8,0,0,1
8,0,2007,2200000,2,1770.0,1.7,1,8,0,0,1
8,0,2010,3900000,2,103000.0,1.7,1,1,0,0,1
8,0,2015,4190000,2,160630.0,1.7,1,3,0,0,1
8,0,2018,6000000,2,110000.0,1.7,1,1,0,0,1
8,0,2020,6100000,2,75000.0,1.7,1,7,0,0,1
8,0,2013,3500000,2,150000.0,1.7,1,8,0,0,1
8,0,2014,3600000,2,145000.0,1.7,1,11,0,0,1
8,0,2005,1400000,2,200000.0,1.7,1,8,0,0,1
8,0,2013,3520000,2,96166.0,1.7,1,8,0,0,1
8,0,2016,5000000,2,83500.0,1.7,1,8,0,0,1
8,0,2016,4900000,2,90000.0,1.7,1,4,0,0,1
8,0,2014,2600000,2,230000.0,1.7,1,1,0,0,1
8,0,2014,3000000,2,315000.0,1.7,1,8,0,0,1
8,0,2014,3600000,2,163434.0,1.7,1,8,0,0,1
8,0,2020,6500000,2,58000.0,1.7,1,7,0,0,1
8,0,2014,3200000,2,187000.0,1.7,1,3,0,0,1
8,0,2015,5500000,2,57281.0,1.7,1,7,0,0,1
8,0,2015,4100000,2,95000.0,1.7,1,3,0,0,1
